,userId,movieId,rating,timestamp
0,1,296,5.0,1147880044
3,1,665,5.0,1147878820
4,1,899,3.5,1147868510
5,1,1088,4.0,1147868495
6,1,1175,3.5,1147868826
7,1,1217,3.5,1147878326
8,1,1237,5.0,1147868839
9,1,1250,4.0,1147868414
10,1,1260,3.5,1147877857
11,1,1653,4.0,1147868097
12,1,2011,2.5,1147868079
13,1,2012,2.5,1147868068
15,1,2161,3.5,1147868609
16,1,2351,4.5,1147877957
17,1,2573,4.0,1147878923
19,1,2692,5.0,1147869100
21,1,3448,4.0,1147868480
22,1,3569,5.0,1147879603
24,1,4144,5.0,1147868898
25,1,4308,3.0,1147868534
26,1,4325,5.0,1147878122
27,1,4422,3.0,1147869048
29,1,4973,4.5,1147869080
31,1,5269,0.5,1147879571
32,1,5684,2.0,1147879797
36,1,5952,4.0,1147868053
37,1,6016,5.0,1147869090
38,1,6370,4.5,1147869191
39,1,6377,4.0,1147868469
40,1,6539,3.5,1147868461
41,1,6711,5.0,1147868622
42,1,6954,3.5,1147869150
43,1,7209,4.0,1147877986
44,1,7234,4.5,1147868869
45,1,7318,2.0,1147879850
47,1,7327,3.5,1147868855
48,1,7361,5.0,1147880055
49,1,7365,4.0,1147869033
50,1,7820,2.5,1147878050
51,1,7937,3.0,1147878055
55,1,8014,3.5,1147869155
56,1,8154,5.0,1147868865
57,1,8327,5.0,1147879375
58,1,8360,4.0,1147868682
61,1,8729,3.5,1147878452
62,1,8786,4.0,1147877853
65,1,27193,3.0,1147879774
66,1,27266,4.5,1147879365
67,1,27721,3.0,1147869115
70,2,1,3.5,1141415820
71,2,62,0.5,1141417130
72,2,110,5.0,1141416589
73,2,150,4.0,1141415790
74,2,151,4.5,1141415643
75,2,236,4.0,1141415659
76,2,260,5.0,1141417172
77,2,261,0.5,1141417855
78,2,266,1.0,1141415926
79,2,318,5.0,1141417181
80,2,333,5.0,1141415931
81,2,349,4.5,1141417045
82,2,356,4.5,1141416637
83,2,364,4.5,1141417077
84,2,380,1.0,1141415808
85,2,457,5.0,1141416618
86,2,480,2.0,1141417088
87,2,497,4.0,1141415566
88,2,524,3.5,1141417112
89,2,527,5.0,1141415816
90,2,534,4.5,1141417814
91,2,553,2.0,1141415539
92,2,588,2.0,1141417189
93,2,589,4.0,1141416748
94,2,653,3.0,1141415552
95,2,733,4.5,1141415905
96,2,858,3.5,1141416926
97,2,914,4.0,1141417642
98,2,953,4.5,1141417487
99,2,1035,1.0,1141415899
100,2,1080,1.0,1141415532
101,2,1136,5.0,1141417950
102,2,1196,5.0,1141417198
103,2,1197,5.0,1141415874
104,2,1198,4.0,1141417032
105,2,1201,2.5,1141415887
106,2,1210,5.0,1141416665
107,2,1246,4.0,1141416793
108,2,1257,5.0,1141417313
109,2,1270,4.0,1141417013
110,2,1271,1.5,1141417736
111,2,1275,4.5,1141417237
112,2,1283,4.0,1141416205
113,2,1287,5.0,1141417140
114,2,1291,5.0,1141416603
115,2,1293,5.0,1141417937
116,2,1299,1.0,1141416220
117,2,1302,3.0,1141417036
118,2,1356,5.0,1141417272
119,2,1374,4.5,1141415576
120,2,1376,5.0,1141417402
121,2,1393,4.0,1141417243
